reservation_id,listing_id,listing_name,total_revenue,billable_amount,rental_amount,bedrooms,owner_stay,booked_at,lead_time,checkin_date,stay_length,adr,guests,status,currency,is_managed_account_valid
126802817,3960350,Coconut Grove #204,1519.00,1697.60,1519.00,6,No,2026-03-30T17:08:17+00:00,68,2026-06-06,3,506.33,0,accepted,USD,Yes
126802855,3960361,Emerald Pointe #3B,232.00,419.96,232.00,2,No,2026-03-30T16:45:26+00:00,17,2026-04-16,3,77.33,0,accepted,USD,Yes
126802868,3960372,Kingston - Arrow Head Court Unit #215,398.00,560.23,398.00,2,No,2026-03-30T12:12:14+00:00,33,2026-05-02,4,99.50,0,accepted,USD,Yes
126705637,3960381,MB Resort 4216,1154.00,1199.05,1154.00,2,No,2026-03-30T02:30:45+00:00,95,2026-07-03,5,230.80,0,accepted,USD,Yes
126705516,3960325,A Place at the Beach #3G,220.00,409.82,220.00,2,No,2026-03-30T02:15:52+00:00,4,2026-04-03,2,110.00,0,accepted,USD,Yes
126705630,3960379,Madison Drive 4BR Beach House,881.00,1090.89,881.00,4,No,2026-03-30T01:05:32+00:00,18,2026-04-17,3,293.67,0,accepted,USD,Yes
126705596,3960350,Coconut Grove #204,0.00,0.00,0.00,6,No,2026-03-30T00:27:00+00:00,94,2026-07-02,3,0.00,0,canceled,USD,Yes
126705668,3960394,Sanabel Towers #303,319.00,493.48,319.00,2,No,2026-03-29T19:21:50+00:00,19,2026-04-17,3,106.33,0,accepted,USD,Yes
126705600,3960352,Covewind 1518,630.00,840.77,630.00,4,No,2026-03-29T09:47:05+00:00,24,2026-04-22,4,157.50,0,accepted,USD,Yes
126705544,3960337,Barefoot #811 Ironwood,104.00,386.94,104.00,2,No,2026-03-29T05:22:21+00:00,1,2026-03-30,2,52.00,0,accepted,USD,Yes
126649486,3960390,Ocean villas #G2,1517.00,1517.00,1517.00,2,No,2026-03-29T04:23:32+00:00,119,2026-07-26,7,216.71,0,accepted,USD,Yes
126649395,3960332,Barefoot #1532 Willow Bend,1531.00,1531.00,1531.00,2,No,2026-03-29T02:13:11+00:00,101,2026-07-08,9,170.11,0,accepted,USD,Yes
126649451,3960364,Grande Cayman Resort #1253,810.00,810.00,810.00,3,No,2026-03-29T01:28:52+00:00,0,2026-03-29,4,202.50,0,accepted,USD,Yes
126649407,3960350,Coconut Grove #204,1210.00,1436.50,1210.00,6,No,2026-03-29T00:32:50+00:00,40,2026-05-08,3,403.33,0,accepted,USD,Yes
126649405,3960346,Brigadune 14a,2000.00,2000.00,2000.00,3,No,2026-03-28T23:14:56+00:00,77,2026-06-13,5,400.00,0,accepted,USD,Yes
126649463,3960373,Luster Leaf 104,491.00,723.32,491.00,3,No,2026-03-28T23:09:29+00:00,29,2026-04-26,6,81.83,0,accepted,USD,Yes
126649412,3960355,Covewind 1535,1948.00,1954.48,1948.00,4,No,2026-03-28T22:44:05+00:00,103,2026-07-09,4,487.00,0,accepted,USD,Yes
126649505,3960398,Sand Dunes Resort 2527,355.00,507.00,355.00,1,No,2026-03-28T18:59:04+00:00,12,2026-04-09,3,118.33,0,accepted,USD,Yes
126649464,3960373,Luster Leaf 104,526.00,752.89,526.00,3,No,2026-03-28T15:38:59+00:00,39,2026-05-06,4,131.50,0,accepted,USD,Yes
126649459,3960372,Kingston - Arrow Head Court Unit #215,403.00,564.46,403.00,2,No,2026-03-28T13:54:00+00:00,26,2026-04-23,4,100.75,0,accepted,USD,Yes
126570934,3960355,Covewind 1535,454.00,692.05,454.00,4,No,2026-03-28T02:12:06+00:00,18,2026-04-15,4,113.50,0,accepted,USD,Yes
126570853,3960350,Coconut Grove #204,3697.00,3697.00,3697.00,6,No,2026-03-27T16:33:32+00:00,100,2026-07-05,7,528.14,0,accepted,USD,Yes
126570832,3960346,Brigadune 14a,2121.00,2614.92,2121.00,3,No,2026-03-27T03:56:20+00:00,134,2026-08-08,7,303.00,0,accepted,USD,Yes
126570936,3960355,Covewind 1535,0.00,0.00,0.00,4,No,2026-03-27T02:55:18+00:00,90,2026-06-25,5,0.00,0,canceled,USD,Yes
126571011,3960372,Kingston - Arrow Head Court Unit #215,126.00,330.39,126.00,2,No,2026-03-27T01:11:19+00:00,0,2026-03-27,2,63.00,0,accepted,USD,Yes
126483631,3960350,Coconut Grove #204,3321.00,3321.00,3321.00,6,No,2026-03-27T00:57:55+00:00,108,2026-07-13,5,664.20,0,accepted,USD,Yes
126483755,3960355,Covewind 1535,1222.00,1341.01,1222.00,4,No,2026-03-27T00:54:12+00:00,59,2026-05-25,5,244.40,0,accepted,USD,Yes
126483919,3960383,Monterey Bay #1205,459.00,607.85,459.00,1,No,2026-03-26T22:13:36+00:00,2,2026-03-28,6,76.50,0,canceled,USD,Yes
